roll, pitch, yaw, x accel, y accel, z accel
-2736, 328, 2655, 676, -956, 90
-2294, 363, 2629, 529, -966, -76
-2006, 374, 2334, 469, -961, -63
-1775, 316, 2199, 377, -942, -111
-1407, 196, 1761, 335, -933, -163
-1045, 85, 1525, 362, -932, -193
-746, -85, 1223, 297, -999, -217
-328, -470, 1268, 324, -1063, -181
55, -975, 1285, 238, -1071, -211
381, -1240, 1384, 277, -1064, -193
578, -1677, 1171, 298, -1012, -255
818, -2072, 1133, 267, -1005, -244
1286, -2412, 1220, 310, -982, -337
1603, -3007, 1091, 310, -933, -353
1694, -3178, 1038, 352, -919, -332
1881, -3396, 657, 340, -973, -407
2144, -3593, 880, 363, -927, -317
2417, -3589, 721, 435, -873, -273
2283, -4041, 577, 504, -813, -338
2222, -4330, 296, 541, -732, -340
2401, -4521, 245, 663, -652, -313
1988, -4876, 21, 667, -537, -318
1754, -5148, 57, 722, -508, -329
1709, -5580, 53, 709, -436, -322
1189, -6034, 218, 747, -395, -358
973, -6132, 102, 689, -347, -380
708, -6769, 435, 747, -319, -388
481, -7192, 693, 455, -316, -391
189, -7528, 835, 355, -343, -386
-48, -7901, 1055, 352, -415, -340
-393, -8152, 1042, 245, -429, -232
-695, -8628, 1029, 173, -460, -265
-1187, -8760, 924, 127, -417, -209
-1713, -9040, 1090, 104, -409, -242
-852, -8975, 920, 95, -411, -171
-1990, -9533, 982, 84, -360, -174
-2514, -9875, 1082, 120, -347, -150
-2874, -9947, 1170, 106, -312, -193
-3068, -10354, 1012, 88, -293, -135
-3408, -10742, 1161, 74, -287, -95
-3613, -11082, 1076, 52, -264, -115
-3879, -11701, 1110, 55, -225, -25
-4049, -11880, 1092, 20, -179, -70
-4162, -11999, 1080, -7, -190, 34
-4175, -12447, 1458, -1, -175, -34
-4162, -13028, 1292, -75, -143, 8
-4217, -13398, 1319, -81, -123, 99
-4210, -13860, 1440, -108, -118, 116
-4064, -14403, 1488, -87, -122, 196
-3877, -14494, 1467, -66, -64, 265
-3724, -14935, 1696, -102, 56, 161
-3236, -15387, 1568, -111, 46, 147
-2679, -15963, 1693, -78, 84, 224
-2447, -16512, 1541, -54, 129, 314
-2384, -16794, 1339, -109, 185, 292
-2025, -17488, 1327, -85, 152, 425
-1805, -17445, 1257, -47, 234, 620
-1109, -17768, 988, 29, 229, 556
-769, -18056, 780, -213, 272, 492
-906, -18222, 540, -100, 295, 448
-681, -17884, 248, -190, 259, 648
-517, -18120, 50, -373, 346, 339
-551, -18109, -220, -346, 351, 629
-118, -17759, -191, -346, 341, 784
96, -17596, -408, -362, 418, 629
213, -16987, -734, -483, 516, 642
361, -16434, -788, -380, 609, 640
711, -16120, -1062, -405, 760, 457
534, -15331, -1216, -147, 772, 446
511, -14846, -1237, -166, 811, 356
978, -14377, -1585, -129, 890, 230
706, -13916, -1645, -101, 709, 224
797, -13106, -1787, -150, 783, 284
1027, -12594, -1916, -74, -60, 328
1357, -12438, -1938, 306, 920, 259
1565, -12107, -1160, -63, 838, 203
1672, -11187, -791, -179, 690, 526
1183, -10381, -645, -209, 760, 346
1215, -9460, -398, -203, 793, 604
1020, -8636, -433, -427, 888, 291
805, -8165, -532, -189, 1057, 348
709, -6967, -349, -267, 1060, 545
556, -6305, -171, 31, 1121, 558
431, -5435, -60, -85, 1163, 520
280, -4898, -14, -101, 1175, 601
-45, -4068, -16, -85, 1113, 593
-288, -3557, -136, -80, 1094, 579
-405, -2882, -229, -62, 1154, 689
-615, -2357, -435, -22, 1191, 733
-723, -1713, -378, -12, 1190, 785
-814, -1118, -506, -58, 1240, 663
-973, -996, -668, -7, 1246, 724
-1150, -690, -663, -39, 1227, 687
-1388, -250, -693, 0, 1271, 696
-1560, -139, -508, 12, 1173, 628
-1675, 252, -537, 30, 1238, 633
-1680, 183, -399, 4, 1198, 626
-1813, 487, -300, -29, 1191, 563
-1984, 596, -140, -42, 1194, 549
-2107, 741, -177, -57, 1174, 471
-2082, 558, -315, -74, 1128, 440
-1860, 755, -112, -78, 1075, 441
-1815, 869, -136, -72, 1032, 336
-1489, 885, -248, -30, 952, 353
-1138, 942, -320, -19, 915, 324
-1018, 1287, -193, 4, 874, 321
-569, 1519, 82, 2, 814, 269
-361, 1524, 34, -6, 786, 227
110, 1403, -178, 15, 737, 208
230, 1737, -331, 4, 739, 157
666, 1694, -427, 10, 751, 65
1014, 1578, -523, -12, 729, -39
1460, 1384, -758, -5, 719, -11
1792, 1002, -1088, 17, 743, -69
2226, 1063, -1218, 24, 740, -138
2486, 649, -1548, 84, 779, -121
2949, 336, -1768, 136, 844, -130
3405, 70, -1804, 188, 916, -181
3878, -498, -2004, 246, 954, -227
4131, -599, -1861, 279, 994, -193
4552, -1041, -2071, 278, 989, -142
4974, -1388, -2079, 266, 991, -97
5407, -1623, -2202, 268, 974, -84
5395, -2001, -2192, 287, 987, -47
5983, -2272, -2425, 279, 1018, -59
6068, -2504, -2522, 303, 1012, 16
6315, -2772, -2579, 311, 1005, 27
6530, -3069, -2691, 346, 1045, -4
6674, -3649, -2770, 368, 1049, 52
6679, -3585, -2860, 386, 1044, -95
6885, -3519, -3121, 570, 1029, 159
6948, -3868, -3001, 398, 1088, -22
6986, -4138, -3255, 458, 1054, 30
7278, -4648, -3029, 469, 1065, -28
7266, -4939, -3218, 528, 994, -38
7289, -5094, -3403, 449, 960, 49
7102, -5287, -3560, 498, 837, -143
6496, -5286, -3428, 449, 869, -40
6661, -5423, -3669, 517, 883, -58
6622, -5322, -3704, 569, 904, 14
6970, -5124, -3624, 606, 862, -73
6819, -5059, -3712, 642, 830, -97
6667, -5054, -3538, 683, 801, -131
6552, -4821, -3684, 693, 788, -102
6231, -4654, -3527, 643, 800, -110
6001, -4301, -3361, 627, 841, -77
5818, -4112, -3408, 655, 828, -150
5779, -3797, -3353, 628, 820, -145
5229, -3466, -3132, 645, 804, -104
4988, -3050, -3167, 676, 767, -87
4941, -2728, -3176, 724, 771, -118
